key;de;en
THLT_0001_PROMPT;Bitte stellen Sie die WiedergabelautstÑrke entsprechend der Vorgaben ein.\\Wenn Sie auf den Play-Button klicken, hîren Sie ein kurzes Audiobeispiel, in dem leise Abschnitte von einem Rauschen zu hîren sind. Bitte  **stellen Sie die LautstÑrke Ihres WiedergabegerÑts so ein**, dass Sie alle Rauschabschnitte  **gerade so noch hîren kînnen**. Dabei sollte die Einstellung so gewÑhlt werden, dass Sie es nicht mehr hîren kînnten, wenn Sie es nur ein kleines bisschen leiser stellen wÅrden.;Please adjust the playback volume according to the following specifications.\\ When you click on the play button, you hear a short audio sample in which soft passages of noise are heard. Please **adjust the volume of your playback device** so that you can **still hear all noise passages**. The setting should be chosen so that you would not be able to hear it if you made it only a little bit quieter.
THLT_0002_PROMPT;Wie viele Rauschabschnitte kînnen Sie hîren?\\Wenn Sie auf den Play-Button klicken, hîren Sie ein kurzes Audiobeispiel, in dem leise und laute Abschnitte von einem Rauschen zu hîren sind. Bitte  **zÑhlen Sie alle leisen und lauten Rauschabschnitte**  und tragen Sie den Zahlenwert in das Textfeld ein.;How many noise passages can you hear?\\ When you click on the play button, you hear a short audio sample in which soft and loud passages of noise are heard. Please  **count all the soft and loud noise passages**  and enter the number in the text field.
THLT_0003_PROMPT;"Wie viele Rauschabschnitte kînnen Sie hîren?\\Wenn Sie auf den Play-Button klicken, hîren Sie ein kurzes Audiobeispiel in dem leise und laute Abschnitte von einem Rauschen zu hîren sind. Bitte  **zÑhlen Sie alle leisen und lauten Rauschabschnitte**  und tragen Sie den Zahlenwert in das Textfeld ein.
";"How many noise passages can you hear?\\ When you click on the play button, you hear a short audio sample in which soft and loud passages of noise are heard. Please  **count all the soft and loud noise passages**  and enter the number in the text field.
"
THLT_0004_PROMPT;Auf dem Bild sind ein Kreis und ein Dreieck abgebildet. Befindet sich der Kreis links oder rechts vom Dreieck?;A circle and a triangle are shown in the picture. Is the circle to the left or right of the triangle?
THLT_0005_PROMPT;"Wie viele Rauschabschnitte kînnen Sie auf dem rechten Kopfhîrer oder Lautsprecher zÑhlen?\\Wenn Sie auf den Play-Button klicken, hîren Sie ein kurzes Audiobeispiel in dem sowohl auf dem linken, als auch auf dem rechten Kanal Rauschabschnitte zu hîren sind. Bitte zÑhlen Sie alle Rauschabschnitte, die Sie auf dem  **rechten Kopfhîrer oder Lautsprecher**  wahrnehmen kînnen und tragen Sie die Zahl in das Textfeld ein.
";"How many noise passages can you count on the right headphone or loudspeaker?\\ When you click on the play button, you hear a short audio sample in which noise passages are heard on both the left and the right channel. Please count all the noise passages that you can hear on the  **right headphone or speaker**  and enter the number in the text field.
"
THLT_0006_PROMPT;Wie bewegt sich das Rauschen?\\Wenn Sie auf den Play-Button klicken, hîren Sie ein Rauschsignal, das die wahrgenommene Position Åber die Zeit verÑndert. Das Rauschen scheint sich zu bewegen. Wie wÅrden Sie diese Bewegung beschreiben?;"How does the noise move?\\
When you click on the play button, you will hear a noise signal that changes the perceived position over time. The noise seems to be moving. How would you describe this movement?"
THLT_0007_PROMPT;Wo kînnen Sie das Gehîrte lokalisieren?\\Wenn Sie auf den Play-Button klicken, hîren Sie ein Audiobeispiel in dem ein Ton zu hîren ist. Sie sollen angeben, wo Sie den Ton lokalisieren kînnen.;"Where can you locate the sound?\\
When you click on the play button, you hear a short audio sample in which a tone is present. You should indicate where you can locate the sound."
THLT_0008_PROMPT;Wie viele Tîne kînnen Sie hîren?\\Wenn Sie auf den Play-Button klicken, hîren Sie ein kurzes Audiobeispiel in dem in regelmÑ·igen AbstÑnden ein Rauschen zu hîren ist. Neben dem Rauschen sind auch Tîne zu hîren, die jedoch nie gleichzeitig mit dem Rauschen erklingen. Ihre Aufgabe ist es  **nur die gehîrten Tîne zu zÑhlen**  und den Zahlenwert in das Textfeld einzutragen.  **Das Rauschen lassen Sie dabei unbeachtet und zÑhlen es auch nicht mit**.;"How many tones can you hear?\\
When you click on the play button, you will hear a short audio sample in which noise can be heard at regular intervals. In addition to the noise, tones are present. Tones and Noise never sound simultaneously. Your task is  ** to count only the tones heard **  and to enter the numerical value in the text field.  **You ignore the noise and don't count it**."
THLT_0009_PROMPT;Wie viele Tîne kînnen Sie hîren?\\Ihre Aufgabe ist es wieder  **nur die gehîrten Tîne zu zÑhlen**  und den Zahlenwert in das Textfeld einzutragen.  **Das Rauschen lassen Sie dabei unbeachtet und zÑhlen es auch nicht mit** .;"How many tones can you hear?\\ Your task is again  ** to count only the tones heard **  and to enter the numerical value in the text field.  **You ignore the noise and don't count it**.
"
THLT_0010_PROMPT;Wie viele Rauschabschnitte kînnen Sie hîren?\\ Wenn Sie auf den Play-Button klicken, hîren Sie ein kurzes Audiobeispiel in dem leise und laute Abschnitte von einem Rauschen zu hîren sind. Bitte  **zÑhlen Sie alle leisen und lauten Rauschabschnitte**  und tragen Sie den Zahlenwert in das Textfeld ein.;How many noise passages can you hear?\\ When you click on the play button, you hear a short audio sample in which soft and loud passages of noise are heard. Please  **count all the soft and loud noise passages**  and enter the number in the text field.
